site;year;adult;young;cox;coy;ele;len;pre;pro;wid;cor;spm;spr;bm;bv
bz1;2009;NA;NA;10.52043;46.69273;1055;50;0;0;5;5;1;1;5;5
bz2;2009;NA;NA;10.42692;46.65761;1700;300;0;0;7;10;0;0;5;20
bz3;2009;NA;NA;10.43445;46.64842;1525;300;0;0;6;10;0;0;700;300
bz4;2009;NA;NA;10.44374;46.64307;1395;300;1;0;7;10;0;0;90;100
bz5;2009;NA;NA;10.48193;46.65095;1090;200;1;0;40;55;0;1;30;20
bz6;2009;NA;NA;10.4848;46.6523;1080;1;1;0;15;20;0;1;5;20
bz7;2009;NA;NA;10.48829;46.65272;1060;160;1;0;35;40;0;1;30;27
bz8;2009;NA;NA;10.49092;46.6541;1050;100;1;0;25;35;0;1;30;50
bz9;2009;NA;NA;10.56388;46.6331;1000;200;0;1;5;8;0;1;10;10
bz10;2009;NA;NA;10.5736;46.63511;900;200;0;0;20;40;0;1;85;100
bz11;2009;NA;NA;10.59083;46.66878;955;180;0;0;35;45;0;1;10;15
bz12;2009;NA;NA;10.61019;46.63385;885;75;0;0;18;25;0;1;NA;NA
bz13;2009;NA;NA;10.5347;46.57285;1280;750;1;1;35;40;0;1;25;25
bz14;2009;NA;NA;10.5909;46.52293;1850;600;1;1;50;70;0;1;NA;NA
bz15;2009;NA;NA;10.58915;46.52609;1840;550;1;1;15;20;0;1;NA;NA
bz16;2009;NA;NA;10.60098;46.62794;880;1000;1;1;175;225;0;1;325;NA
bz17;2009;NA;NA;10.67935;46.61884;865;75;0;0;16;25;0;1;NA;NA
bz18;2009;NA;NA;10.77824;46.63046;740;100;0;0;5;10;1;1;80;60
bz19;2009;NA;NA;10.95798;46.75297;2000;200;1;1;50;70;0;0;NA;NA
bz20;2009;NA;NA;10.88646;46.49215;1360;300;1;0;8;25;0;1;NA;NA
bz21;2009;NA;NA;11.09442;46.79894;1590;200;1;1;16;22;0;1;40;60
bz22;2009;NA;NA;11.16706;46.66933;320;1;1;0;30;38;1;1;160;230
bz23;2009;NA;NA;11.14305;46.66196;295;100;1;0;45;95;0;1;300;175
bz24;2009;NA;NA;11.18498;46.65622;320;400;1;0;15;50;0;1;100;100
bz25;2009;NA;NA;11.63244;46.97533;1480;1200;1;0;50;60;0;1;NA;NA
bz26;2009;NA;NA;11.61132;46.96909;1450;700;1;1;40;50;0;1;575;300
bz27;2009;NA;NA;11.60644;46.96804;1445;100;1;0;60;70;0;1;75;95
bz28;2009;NA;NA;11.59559;46.96603;1435;200;1;0;12;16;0;1;NA;NA
bz29;2009;NA;NA;11.56921;46.96097;1400;300;1;1;22;28;0;1;NA;85
bz30;2009;NA;NA;11.53007;46.93876;1380;300;0;1;12;25;0;1;NA;NA
bz31;2009;NA;NA;11.38816;46.88424;955;1100;1;1;60;80;0;1;100;100
bz32;2009;NA;NA;12.38639;46.6773;1450;50;1;0;6;25;0;0;NA;NA
bz33;2009;NA;NA;12.21769;46.72153;1210;800;1;1;18;50;0;0;NA;NA
bz34;2009;NA;NA;12.14917;46.74096;1125;300;0;1;16;50;0;1;600;600
bz35;2009;NA;NA;12.24864;46.84974;1475;100;1;0;8;35;0;0;120;70
bz36;2009;NA;NA;12.08095;46.76216;1055;200;1;1;25;50;0;1;275;NA
bz37;2009;NA;NA;11.95765;46.90501;855;100;0;0;22;25;0;1;625;570
bz38;2009;NA;NA;11.77727;46.91835;1675;250;1;0;30;45;0;1;40;225
bz39;2009;NA;NA;11.78088;46.91929;1660;70;1;0;18;30;0;1;110;170
bz40;2009;NA;NA;11.81485;46.89867;1260;600;0;0;25;40;0;1;NA;NA
bz41;2009;NA;NA;11.9499;46.85165;830;100;0;0;50;70;0;1;185;150
bz42;2009;NA;NA;11.9534;46.85043;830;100;0;0;50;80;0;1;150;500
bz43;2009;NA;NA;11.95007;46.84613;830;100;0;0;50;80;0;1;100;1000
bz44;2009;NA;NA;11.85429;46.81314;935;30;1;1;NA;NA;NA;NA;NA;NA
bz45;2009;NA;NA;11.62145;46.86146;1390;500;1;1;30;50;0;1;300;725
bz46;2009;NA;NA;11.62049;46.8559;1380;100;1;0;10;12;0;1;930;100
bz47;2009;NA;NA;11.62155;46.84834;1365;100;0;0;8;9;0;1;100;130
bz48;2009;NA;NA;11.74989;46.66449;1650;50;1;0;6;9;0;1;NA;NA
bz49;2009;NA;NA;11.49148;46.59057;1470;20;1;0;NA;NA;NA;NA;NA;NA
bz50;2009;NA;NA;11.53193;46.46262;910;30;1;0;12;15;0;1;20;70
bz51;2009;NA;NA;11.41497;46.77967;1450;150;1;1;6;8;0;1;NA;NA
bz52;2009;NA;NA;11.36592;46.77271;1350;800;1;0;12;35;0;1;NA;225
bz53;2009;NA;NA;11.36996;46.77092;1325;300;1;0;20;42;1;1;135;225
bz54;2009;NA;NA;11.36577;46.76199;1300;300;1;1;NA;NA;NA;NA;NA;NA
bz55;2009;NA;NA;11.36684;46.76142;1290;800;1;1;10;25;0;1;NA;NA
bz56;2009;NA;NA;11.366;46.75725;1285;100;1;1;20;25;0;1;NA;NA
bz57;2009;NA;NA;11.36459;46.75612;1290;100;1;0;13;18;0;1;NA;NA
bz58;2009;NA;NA;11.36083;46.74915;1260;1;0;0;12;14;0;1;50;50
bz59;2009;NA;NA;11.35584;46.74235;1230;1;0;0;10;13;0;1;5;80
tn1;2009;8;0;11.72016;46.46399;1370;250;1;0;13;50;0;1;600;500
tn2;2009;0;3;11.69725;46.44172;1325;5;0;0;10;43;1;1;1350;370
tn3;2009;0;0;11.69744;46.44146;1325;25;0;0;10;35;1;1;1360;360
tn4;2009;3;0;11.69221;46.43453;1315;450;1;0;15;45;0;1;500;250
tn5;2009;0;0;11.74725;46.4236;1760;300;0;0;9;40;0;0;NA;NA
tn6;2009;18;5;11.69806;46.42739;1340;300;1;0;9;12;1;1;20;30
tn7;2009;4;0;11.68642;46.43138;1300;30;1;0;13;20;1;1;325;275
tn8;2009;30;90;11.62389;46.31045;1060;150;0;0;40;110;0;1;100;300
tn9;2009;70;10;11.62161;46.31057;1050;250;1;0;40;100;0;1;275;125
tn10;2009;3;0;11.5864;46.29686;975;10;1;1;30;33;0;1;250;160
tn11;2009;0;0;11.58515;46.29625;970;500;1;1;50;60;0;1;70;140
tn12;2009;1;0;11.58043;46.29237;970;1;0;1;50;65;0;1;460;250
tn13;2009;70;0;11.57958;46.29085;960;500;1;1;50;150;1;1;100;630
tn14;2009;0;5;11.58027;46.2919;960;150;0;1;60;100;0;1;200;515
tn15;2009;0;0;11.57903;46.29111;960;30;0;1;60;130;0;1;650;75
tn16;2009;10;0;11.53986;46.28214;910;50;1;0;40;45;1;1;80;130
tn17;2009;0;0;11.53134;46.28261;905;1300;1;1;30;50;1;1;235;60
tn18;2009;1;0;11.47266;46.2837;855;1;0;0;30;35;0;1;390;500
tn19;2009;21;0;11.46521;46.28308;850;300;1;0;30;90;0;1;100;300
tn20;2009;0;0;11.460405;46.280250;845;400;1;0;30;50;1;1;180;225
tn21;2009;0;0;10.63566;46.27145;1365;1;0;0;30;50;0;1;NA;400
bl1;2009;NA;NA;12.63131;46.61323;1350;2700;1;1;20;50;0;1;NA;NA
bl2;2009;NA;NA;12.16983;46.4951;1065;100;1;0;30;70;0;1;NA;NA
bl3;2009;NA;NA;12.19006;46.34922;830;200;1;0;15;50;0;1;200;425
bl4;2009;NA;NA;12.29469;46.22756;400;120;1;1;375;500;0;1;NA;3000
bl5;2009;NA;NA;12.26139;46.17013;360;200;1;0;300;400;0;1;NA;NA
bl6;2009;NA;NA;12.24072;46.15215;340;300;1;1;375;500;0;1;NA;NA
bl7;2009;NA;NA;12.08813;46.08201;280;300;1;0;375;500;0;1;NA;NA
bl8;2009;NA;NA;11.99267;46.43863;1000;300;1;0;30;40;1;1;150;60
